procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0   4352 1118180 984180 2957968    0    0     0  1256 2825 3333 10  5 84  1  0 2021-11-09 10:25:12
 0  0   4352 1117680 984180 2957972    0    0     0  1084 3308 4685 12  4 84  0  0 2021-11-09 10:25:13
 0  0   4352 1117680 984188 2957448    0    0     0   232 1699 1852  5  4 92  0  0 2021-11-09 10:25:14
 0  0   4352 1117364 984188 2957456    0    0     0   444 3632 4120  8  6 87  0  0 2021-11-09 10:25:15
 0  0   4352 1117332 984188 2957464    0    0     0   468 1544 1504  6  3 91  0  0 2021-11-09 10:25:16
 0  0   4352 1117680 984196 2957936    0    0     0  1228 3746 5115 10  6 83  1  0 2021-11-09 10:25:17
 0  0   4352 1117772 984196 2957960    0    0     0  1028 2795 3388 11  4 85  0  0 2021-11-09 10:25:18
 1  0   4352 1117708 984208 2957424    0    0     0   516 2248 2805  5  3 92  0  0 2021-11-09 10:25:19
 1  0   4352 1117676 984208 2957492    0    0     0   460 2418 2426  8  5 88  0  0 2021-11-09 10:25:20
 1  0   4352 1117580 984208 2957476    0    0     0   140 1755 1823  4  3 92  0  0 2021-11-09 10:25:21
 0  0   4352 1117232 984216 2957944    0    0     0   968 2954 3547 11  6 82  1  0 2021-11-09 10:25:22
 0  0   4352 1117136 984216 2957952    0    0     0  1356 4075 4691 10  6 84  0  0 2021-11-09 10:25:23
 1  0   4352 1116380 984224 2958548    0    0     0   352 1612 1732  5  3 93  0  0 2021-11-09 10:25:24
 0  0   4352 1116380 984224 2958540    0    0     0   908 3368 3744  9  5 86  0  0 2021-11-09 10:25:25
 0  0   4352 1117136 984224 2957508    0    0     0   140 1528 1639  4  3 93  0  0 2021-11-09 10:25:26
 0  0   4352 1117104 984232 2958040    0    0     0  1520 3608 4790 11  6 82  1  0 2021-11-09 10:25:27
 0  0   4352 1117136 984232 2958028    0    0     0   588 2839 3736  9  4 86  0  0 2021-11-09 10:25:28
 1  0   4352 1108064 984240 2957516    0    0     0   656 2618 3161 11  4 85  0  0 2021-11-09 10:25:29
 0  0   4352 1098960 984240 2957460    0    0     0   440 2334 2336 11  3 86  0  0 2021-11-09 10:25:30
 0  0   4352 1117576 984240 2957448    0    0     0   140 1667 1754  5  3 92  0  0 2021-11-09 10:25:31
 0  0   4352 1117576 984248 2958044    0    0     0  1212 3026 3422 14  5 80  1  0 2021-11-09 10:25:32
 0  0   4352 1117292 984248 2958056    0    0     0   752 4032 4847 11  7 82  0  0 2021-11-09 10:25:33
 0  0   4352 1118048 984256 2957484    0    0     0   492 1585 1815  5  3 93  0  0 2021-11-09 10:25:34
 1  0   4352 1118048 984256 2957484    0    0     0   608 3731 4377 10  6 84  0  0 2021-11-09 10:25:35
